,state,district,category,type,date,crimes
150,Johor,Iskandar Puteri,assault,robbery_solo_unarmed,2022,17
151,Johor,Iskandar Puteri,assault,robbery_solo_unarmed,2023,19
152,Johor,Iskandar Puteri,property,break_in,2016,0
153,Johor,Iskandar Puteri,property,break_in,2017,92
154,Johor,Iskandar Puteri,property,break_in,2018,47
155,Johor,Iskandar Puteri,property,break_in,2019,76
156,Johor,Iskandar Puteri,property,break_in,2020,77
157,Johor,Iskandar Puteri,property,break_in,2021,68
158,Johor,Iskandar Puteri,property,break_in,2022,77
159,Johor,Iskandar Puteri,property,break_in,2023,103
160,Johor,Iskandar Puteri,property,theft_other,2016,0
161,Johor,Iskandar Puteri,property,theft_other,2017,151
162,Johor,Iskandar Puteri,property,theft_other,2018,176
163,Johor,Iskandar Puteri,property,theft_other,2019,228
164,Johor,Iskandar Puteri,property,theft_other,2020,156
165,Johor,Iskandar Puteri,property,theft_other,2021,114
166,Johor,Iskandar Puteri,property,theft_other,2022,125
167,Johor,Iskandar Puteri,property,theft_other,2023,205
168,Johor,Iskandar Puteri,property,theft_vehicle_lorry,2016,0
169,Johor,Iskandar Puteri,property,theft_vehicle_lorry,2017,17
170,Johor,Iskandar Puteri,property,theft_vehicle_lorry,2018,20
171,Johor,Iskandar Puteri,property,theft_vehicle_lorry,2019,36
172,Johor,Iskandar Puteri,property,theft_vehicle_lorry,2020,11
173,Johor,Iskandar Puteri,property,theft_vehicle_lorry,2021,6
174,Johor,Iskandar Puteri,property,theft_vehicle_lorry,2022,5
175,Johor,Iskandar Puteri,property,theft_vehicle_lorry,2023,7
176,Johor,Iskandar Puteri,property,theft_vehicle_motorcar,2016,0
177,Johor,Iskandar Puteri,property,theft_vehicle_motorcar,2017,130
178,Johor,Iskandar Puteri,property,theft_vehicle_motorcar,2018,138
179,Johor,Iskandar Puteri,property,theft_vehicle_motorcar,2019,131
180,Johor,Iskandar Puteri,property,theft_vehicle_motorcar,2020,122
181,Johor,Iskandar Puteri,property,theft_vehicle_motorcar,2021,56
182,Johor,Iskandar Puteri,property,theft_vehicle_motorcar,2022,54
183,Johor,Iskandar Puteri,property,theft_vehicle_motorcar,2023,44
184,Johor,Iskandar Puteri,property,theft_vehicle_motorcycle,2016,0
185,Johor,Iskandar Puteri,property,theft_vehicle_motorcycle,2017,337
186,Johor,Iskandar Puteri,property,theft_vehicle_motorcycle,2018,403
187,Johor,Iskandar Puteri,property,theft_vehicle_motorcycle,2019,313
188,Johor,Iskandar Puteri,property,theft_vehicle_motorcycle,2020,172
189,Johor,Iskandar Puteri,property,theft_vehicle_motorcycle,2021,88
190,Johor,Iskandar Puteri,property,theft_vehicle_motorcycle,2022,95
191,Johor,Iskandar Puteri,property,theft_vehicle_motorcycle,2023,89
192,Johor,Johor Bahru Selatan,assault,causing_injury,2016,200
193,Johor,Johor Bahru Selatan,assault,causing_injury,2017,170
194,Johor,Johor Bahru Selatan,assault,causing_injury,2018,115
195,Johor,Johor Bahru Selatan,assault,causing_injury,2019,126
196,Johor,Johor Bahru Selatan,assault,causing_injury,2020,67
197,Johor,Johor Bahru Selatan,assault,causing_injury,2021,62
198,Johor,Johor Bahru Selatan,assault,causing_injury,2022,45
199,Johor,Johor Bahru Selatan,assault,causing_injury,2023,46
200,Johor,Johor Bahru Selatan,assault,murder,2016,15
201,Johor,Johor Bahru Selatan,assault,murder,2017,23
202,Johor,Johor Bahru Selatan,assault,murder,2018,9
203,Johor,Johor Bahru Selatan,assault,murder,2019,10
204,Johor,Johor Bahru Selatan,assault,murder,2020,4
205,Johor,Johor Bahru Selatan,assault,murder,2021,5
206,Johor,Johor Bahru Selatan,assault,murder,2022,7
207,Johor,Johor Bahru Selatan,assault,murder,2023,8
208,Johor,Johor Bahru Selatan,assault,rape,2016,42
209,Johor,Johor Bahru Selatan,assault,rape,2017,28
210,Johor,Johor Bahru Selatan,assault,rape,2018,24
211,Johor,Johor Bahru Selatan,assault,rape,2019,27
212,Johor,Johor Bahru Selatan,assault,rape,2020,17
213,Johor,Johor Bahru Selatan,assault,rape,2021,17
214,Johor,Johor Bahru Selatan,assault,rape,2022,26
215,Johor,Johor Bahru Selatan,assault,rape,2023,20
216,Johor,Johor Bahru Selatan,assault,robbery_gang_armed,2016,5
217,Johor,Johor Bahru Selatan,assault,robbery_gang_armed,2017,0
218,Johor,Johor Bahru Selatan,assault,robbery_gang_armed,2018,1
219,Johor,Johor Bahru Selatan,assault,robbery_gang_armed,2019,0
220,Johor,Johor Bahru Selatan,assault,robbery_gang_armed,2020,0
221,Johor,Johor Bahru Selatan,assault,robbery_gang_armed,2021,0
222,Johor,Johor Bahru Selatan,assault,robbery_gang_armed,2022,0
223,Johor,Johor Bahru Selatan,assault,robbery_gang_armed,2023,0
224,Johor,Johor Bahru Selatan,assault,robbery_gang_unarmed,2016,506
225,Johor,Johor Bahru Selatan,assault,robbery_gang_unarmed,2017,528
226,Johor,Johor Bahru Selatan,assault,robbery_gang_unarmed,2018,217
227,Johor,Johor Bahru Selatan,assault,robbery_gang_unarmed,2019,192
228,Johor,Johor Bahru Selatan,assault,robbery_gang_unarmed,2020,44
229,Johor,Johor Bahru Selatan,assault,robbery_gang_unarmed,2021,39
230,Johor,Johor Bahru Selatan,assault,robbery_gang_unarmed,2022,68
231,Johor,Johor Bahru Selatan,assault,robbery_gang_unarmed,2023,90
232,Johor,Johor Bahru Selatan,assault,robbery_solo_armed,2016,2
233,Johor,Johor Bahru Selatan,assault,robbery_solo_armed,2017,0
234,Johor,Johor Bahru Selatan,assault,robbery_solo_armed,2018,0
235,Johor,Johor Bahru Selatan,assault,robbery_solo_armed,2019,1
236,Johor,Johor Bahru Selatan,assault,robbery_solo_armed,2020,0
237,Johor,Johor Bahru Selatan,assault,robbery_solo_armed,2021,0
238,Johor,Johor Bahru Selatan,assault,robbery_solo_armed,2022,0
239,Johor,Johor Bahru Selatan,assault,robbery_solo_armed,2023,0
240,Johor,Johor Bahru Selatan,assault,robbery_solo_unarmed,2016,207
241,Johor,Johor Bahru Selatan,assault,robbery_solo_unarmed,2017,207
242,Johor,Johor Bahru Selatan,assault,robbery_solo_unarmed,2018,108
243,Johor,Johor Bahru Selatan,assault,robbery_solo_unarmed,2019,73
244,Johor,Johor Bahru Selatan,assault,robbery_solo_unarmed,2020,94
245,Johor,Johor Bahru Selatan,assault,robbery_solo_unarmed,2021,27
246,Johor,Johor Bahru Selatan,assault,robbery_solo_unarmed,2022,67
247,Johor,Johor Bahru Selatan,assault,robbery_solo_unarmed,2023,88
